GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:20:44.951Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-20-44-951Z

Game 237: O | GNU | clockwise > (39 turns, 67/57 moves, 0.01s)
Game 238: O | GNU | clockwise > (36 turns, 57/52 moves, 0.01s)
Game 239: O | GNU | clockwise > (39 turns, 63/57 moves, 0.01s)
Game 240: X | NODOTS | counterclockwise > (43 turns, 65/67 moves, 0.01s)
Game 241: X | NODOTS | counterclockwise > (35 turns, 53/58 moves, 0.01s)
Game 242: X | NODOTS | counterclockwise > (30 turns, 51/52 moves, 0.01s)
Game 243: O | GNU | clockwise > (32 turns, 51/49 moves, 0.01s)
Game 244: O | GNU | clockwise > (39 turns, 63/59 moves, 0.01s)
Game 245: X | NODOTS | counterclockwise > (39 turns, 67/65 moves, 0.01s)
Game 246: X | NODOTS | counterclockwise > (36 turns, 60/57 moves, 0.01s)
Game 247: O | GNU | clockwise > (39 turns, 65/58 moves, 0.01s)
Game 248: X | NODOTS | counterclockwise > (29 turns, 48/54 moves, 0.01s)
Game 249: X | NODOTS | counterclockwise > (31 turns, 53/58 moves, 0.01s)
Game 250: O | GNU | clockwise > (33 turns, 54/52 moves, 0.01s)
Game 251: O | GNU | clockwise > (40 turns, 69/64 moves, 0.01s)
Game 252: O | GNU | clockwise > (31 turns, 54/55 moves, 0.01s)
Game 253: O | GNU | clockwise > (37 turns, 62/53 moves, 0.01s)
Game 254: O | GNU | clockwise > (29 turns, 55/44 moves, 0.01s)
Game 255: O | GNU | clockwise > (30 turns, 50/51 moves, 0.01s)
Game 256: O | GNU | clockwise > (34 turns, 58/59 moves, 0.01s)
Game 257: X | NODOTS | counterclockwise > (30 turns, 49/52 moves, 0.01s)
Game 258: O | GNU | clockwise > (33 turns, 56/56 moves, 0.01s)
Game 259: O | GNU | clockwise > (34 turns, 56/56 moves, 0.01s)
Game 260: X | NODOTS | counterclockwise > (33 turns, 54/64 moves, 0.01s)
Game 261: X | NODOTS | counterclockwise > (32 turns, 52/55 moves, 0.01s)
Game 262: O | GNU | clockwise > (34 turns, 61/51 moves, 0.01s)
Game 263: X | NODOTS | counterclockwise > (37 turns, 56/66 moves, 0.01s)
Game 264: X | NODOTS | counterclockwise > (39 turns, 63/68 moves, 0.01s)
Game 265: X | NODOTS | counterclockwise > (37 turns, 60/61 moves, 0.01s)
Game 266: O | GNU | clockwise > (35 turns, 57/50 moves, 0.01s)
Game 267: O | GNU | clockwise > (32 turns, 56/52 moves, 0.01s)
