Game,Winner,Turns,GNU_Moves,Nodots_Moves,Duration_Seconds,Status
228,NODOTS,34,55,56,0.01,completed
229,GNU,33,58,50,0.01,completed
230,NODOTS,37,56,60,0.01,completed
231,GNU,33,59,50,0.01,completed
232,GNU,37,60,55,0.01,completed
233,GNU,25,46,42,0.01,completed
234,GNU,32,58,49,0.01,completed
235,NODOTS,31,45,53,0.01,completed
236,GNU,30,53,49,0.01,completed
237,GNU,35,60,53,0.01,completed
238,GNU,50,80,72,0.01,completed
239,NODOTS,35,55,57,0.01,completed
240,GNU,31,53,47,0.01,completed
241,NODOTS,38,61,60,0.01,completed
242,NODOTS,28,48,45,0.01,completed
243,GNU,27,50,45,0.01,completed
244,GNU,43,66,65,0.01,completed
245,GNU,35,64,51,0.01,completed
246,GNU,33,58,50,0.01,completed
247,GNU,39,64,65,0.01,completed
248,GNU,28,54,46,0.01,completed
249,NODOTS,37,58,65,0.01,completed
250,GNU,33,54,54,0.01,completed
251,GNU,38,62,60,0.01,completed
252,GNU,40,62,58,0.01,completed
253,GNU,37,61,49,0.01,completed
254,NODOTS,36,66,57,0.01,completed
255,GNU,34,52,53,0.01,completed
256,GNU,35,61,45,0.01,completed
257,GNU,31,56,42,0.01,completed
258,GNU,33,57,52,0.01,completed
259,NODOTS,23,41,43,0.01,completed
260,GNU,36,56,60,0.01,completed
261,NODOTS,34,59,58,0.01,completed
262,GNU,30,54,53,0.01,completed
263,NODOTS,37,56,64,0.01,completed
264,GNU,44,71,68,0.01,completed
265,GNU,46,72,72,0.01,completed
266,GNU,39,72,61,0.01,completed
267,NODOTS,37,58,64,0.01,completed
268,NODOTS,34,57,56,0.01,completed
269,GNU,30,51,55,0.01,completed
270,NODOTS,41,62,69,0.01,completed
271,NODOTS,28,48,49,0.01,completed
272,NODOTS,43,67,66,0.01,completed
273,NODOTS,37,60,62,0.01,completed
274,GNU,31,55,54,0.01,completed
275,NODOTS,27,45,51,0.01,completed
276,NODOTS,37,58,58,0.01,completed
277,GNU,34,57,53,0.01,completed
278,GNU,41,66,62,0.01,completed
279,GNU,35,57,55,0.01,completed
280,GNU,40,63,56,0.01,completed
281,NODOTS,38,57,64,0.01,completed
282,GNU,29,56,46,0.01,completed
283,NODOTS,39,61,66,0.01,completed
284,GNU,48,75,72,0.01,completed
285,GNU,43,69,65,0.01,completed
286,GNU,29,50,44,0.01,completed
287,GNU,34,59,54,0.01,completed
288,GNU,31,53,53,0.01,completed
289,NODOTS,33,52,59,0.01,completed
290,NODOTS,38,61,62,0.01,completed
291,GNU,38,68,60,0.01,completed
292,GNU,36,59,58,0.01,completed
293,GNU,33,60,53,0.01,completed
294,GNU,37,65,56,0.01,completed
295,NODOTS,30,47,57,0.01,completed
296,GNU,30,56,51,0.01,completed
297,NODOTS,31,47,59,0.01,completed
298,NODOTS,29,46,52,0.01,completed
299,GNU,32,54,56,0.01,completed
300,GNU,37,60,56,0.01,completed
301,GNU,25,48,38,0.01,completed
302,NODOTS,31,49,53,0.01,completed
303,NODOTS,30,49,55,0.01,completed
304,GNU,34,60,53,0.01,completed
305,GNU,27,54,39,0.01,completed
306,NODOTS,35,57,57,0.01,completed
307,GNU,31,51,51,0.01,completed
308,NODOTS,39,59,61,0.01,completed
309,NODOTS,28,46,49,0.01,completed
310,GNU,42,66,62,0.01,completed
311,NODOTS,29,46,48,0.01,completed
312,NODOTS,31,51,55,0.01,completed
313,GNU,27,49,47,0.02,completed
314,GNU,37,58,55,0.01,completed
315,NODOTS,36,56,55,0.01,completed
316,NODOTS,33,50,54,0.01,completed
317,GNU,34,56,53,0.01,completed
318,GNU,41,70,64,0.01,completed
319,NODOTS,34,61,56,0.01,completed
320,GNU,34,57,56,0.01,completed
321,GNU,33,58,50,0.01,completed
322,NODOTS,34,53,54,0.01,completed
323,GNU,34,57,57,0.01,completed
324,NODOTS,34,53,58,0.01,completed
325,GNU,34,61,54,0.01,completed
326,GNU,31,57,51,0.01,completed
327,NODOTS,33,52,56,0.01,completed
328,NODOTS,40,62,66,0.01,completed
329,GNU,41,66,58,0.01,completed
330,GNU,21,49,35,0.01,completed
331,NODOTS,27,43,51,0.01,completed
332,GNU,36,60,58,0.01,completed
333,GNU,39,62,59,0.01,completed
334,NODOTS,37,60,60,0.01,completed
335,GNU,33,57,46,0.01,completed
336,GNU,33,60,47,0.01,completed
337,GNU,37,59,54,0.01,completed
338,GNU,31,54,51,0.01,completed
339,GNU,35,60,55,0.01,completed
340,NODOTS,33,54,58,0.01,completed
341,GNU,35,59,55,0.01,completed
342,GNU,33,59,46,0.01,completed
343,NODOTS,31,49,53,0.01,completed
344,GNU,39,65,58,0.01,completed
345,GNU,31,54,51,0.01,completed
346,NODOTS,39,65,65,0.01,completed
347,GNU,44,71,72,0.01,completed
348,NODOTS,49,74,78,0.02,completed
349,GNU,36,57,58,0.01,completed
350,GNU,41,65,61,0.01,completed
351,GNU,30,54,49,0.01,completed
352,NODOTS,29,44,54,0.01,completed
353,GNU,42,66,61,0.01,completed
354,GNU,41,70,61,0.01,completed
355,GNU,35,57,53,0.01,completed
356,GNU,33,56,54,0.01,completed
357,GNU,42,66,61,0.01,completed
358,GNU,24,45,40,0.01,completed
359,NODOTS,38,61,58,0.01,completed
360,GNU,37,61,55,0.01,completed
361,NODOTS,44,68,70,0.01,completed
362,GNU,37,58,55,0.01,completed
363,GNU,34,59,56,0.01,completed
364,GNU,34,55,58,0.01,completed
365,GNU,41,66,68,0.01,completed
366,GNU,37,63,48,0.01,completed
367,GNU,38,61,65,0.01,completed
368,GNU,39,65,57,0.01,completed
369,GNU,32,53,58,0.01,completed
370,GNU,28,53,44,0.01,completed
371,GNU,32,57,47,0.01,completed
372,GNU,37,64,60,0.01,completed
373,GNU,27,49,41,0.01,completed
374,GNU,37,64,55,0.01,completed
375,GNU,32,52,52,0.01,completed
376,GNU,35,61,55,0.01,completed
377,GNU,35,59,55,0.01,completed
378,GNU,38,62,65,0.01,completed
379,GNU,39,69,57,0.01,completed
380,NODOTS,33,54,56,0.01,completed
381,GNU,40,61,56,0.01,completed
382,GNU,36,64,56,0.01,completed
383,GNU,37,62,53,0.01,completed
384,GNU,37,58,58,0.01,completed
385,GNU,28,53,44,0.01,completed
386,GNU,34,56,53,0.01,completed
387,NODOTS,34,55,62,0.01,completed
388,GNU,23,47,41,0.01,completed
389,GNU,39,62,59,0.01,completed
390,NODOTS,31,51,53,0.01,completed
391,GNU,31,55,49,0.01,completed
392,GNU,33,57,53,0.01,completed
393,GNU,34,57,51,0.01,completed
394,GNU,36,61,57,0.01,completed
395,GNU,33,56,52,0.01,completed
396,GNU,37,65,58,0.01,completed
397,GNU,36,61,58,0.01,completed
398,NODOTS,32,52,53,0.01,completed
399,NODOTS,30,47,50,0.01,completed
400,NODOTS,42,69,68,0.01,completed
401,GNU,36,59,60,0.01,completed
402,NODOTS,29,50,49,0.01,completed
403,NODOTS,34,55,52,0.01,completed
404,GNU,38,62,57,0.01,completed
405,GNU,30,54,53,0.01,completed
406,NODOTS,39,63,64,0.01,completed
407,NODOTS,37,60,57,0.01,completed
408,GNU,42,66,65,0.01,completed
409,NODOTS,36,58,59,0.01,completed
410,GNU,29,54,48,0.01,completed
411,GNU,34,57,53,0.01,completed
412,GNU,37,65,56,0.01,completed
413,GNU,31,52,53,0.01,completed
414,NODOTS,28,48,48,0.01,completed
415,NODOTS,33,54,57,0.01,completed
416,GNU,35,59,61,0.01,completed
417,GNU,38,60,53,0.01,completed
418,GNU,42,68,61,0.01,completed
419,GNU,31,56,49,0.01,completed
420,NODOTS,33,50,56,0.01,completed
421,NODOTS,35,53,60,0.01,completed
422,NODOTS,41,64,64,0.01,completed
423,GNU,40,65,63,0.01,completed
424,GNU,42,67,73,0.01,completed
425,GNU,35,62,53,0.01,completed
426,NODOTS,31,53,51,0.01,completed
427,NODOTS,31,53,53,0.01,completed
428,GNU,38,62,51,0.01,completed
429,GNU,30,51,47,0.01,completed
430,NODOTS,35,51,55,0.01,completed
431,GNU,34,57,56,0.01,completed
432,GNU,41,70,59,0.01,completed
